material_type,lathe_efficiency,machine_hours,energy_consumption,temperature,humidity,machine_type,operational_settings,wastage,certifications,safety_incidents,recycling_rate,first_pass_yield,downtime_duration,tool_maintenance_frequency,scrap_handling_efficiency,rd_investment,packaging_waste,lifecycle_analysis,renewable_energy,surface_emissions,return_rate,painting_emissions,heating_energy,inventory_turnover,distance_to_suppliers,carbon_capture_efficiency,secondary_process_emissions,worker_experience,tool_wear_level,supplier_reliability,on_time_delivery_rate,training_hours,factory_age,environmental_fines,automation_ratio,water_usage,scrap_rate,energy_source,shift_timing,transport_emissions,machines_in_operation,turnover_rate,compressor_efficiency,ventilation_usage,inspection_accuracy,noise_level,num_shifts,maintenance_downtime,customer_complaints,cooling_energy,labor_hours_per_unit,material_defect_rate,production_volume,cycle_time,calibration_frequency,startup_emissions,factory_location,operator_skill,renewable_energy_utilization,machine_age,supply_chain_emissions,water_reuse_rate,product_weight,batch_size,supply_chain_complexity,num_suppliers,inspection_frequency,training_costs,process_variability,packaging_material,hazardous_waste,line_speed,smart_sensor_usage,cooling_water_temp,workstation_count,logistics_emissions,lean_practices_frequency,power_outage_frequency,labor_costs,supplier_proximity,govt_subsidy_access,regulatory_inspections,scrap_reuse_rate,generator_fuel_consumption,skilled_labor_availability,component_type,raw_material_cost,pollution_control,quality_audit_frequency,local_transport_emissions,worker_wage,sustainability_awareness,CO2_emissions
Aluminum,0.811346107,9.942735938,78.75102215,20.40248275,48.08261101,Lathe_A,Setting_2,0.042144142,ISO_14001,Minor,0.236337414,0.86237936,1.039853662,7.245329267,0.510611337,0.09763561,4.935485638,Basic,0.050737358,2.07752577,0.049046579,1.350032721,49.25528957,18.29745026,309.3014321,0.282277727,0.573644656,Beginner,57.89783467,0.888863568,0.704974187,22.8239373,41.1016461,14191.92858,0.877650275,1.314460954,0.185152289,Wind,Day,0.078598688,16,0.129558784,0.791196401,10.85366918,0.939539502,50.7262931,1,1.226910978,2,36.03502935,0.600912905,0.001004035,327.5561921,122.3219597,6.58763726,6.216012233,Rural,High,0.724501817,7.709451431,14.14315538,0.97654637,8.544202987,24,Simple,3,26.26717665,2354.723738,0.007835138,Metal,4.408573605,1.306328677,High,18.17496372,23,73.34967162,0.219603569,2.245466833,685.7847646,271.0066957,Yes,7.474398149,0.227262374,10.46108432,High,Suspension,104.7538497,None,1.250499809,4.111456899,418.9996036,High,790.7744037
Composite,0.94993095,5.637912585,115.4032524,28.90886174,61.53475428,Lathe_B,Setting_3,0.016345223,None,Minor,0.822370631,0.942110533,1.625658673,2.817723575,0.688347505,0.073004758,4.156913838,Basic,0.769991536,1.421068784,0.027838668,1.971065356,22.19086765,8.272513173,491.3800437,0.466614694,9.97452019,Beginner,13.73369043,0.973067122,0.873902827,22.85927878,18.4206473,20794.38235,0.623804902,8.387218964,0.123612313,Grid Electricity,Day,0.049971655,24,0.116701083,0.837945716,16.50976043,0.996176774,99.50922279,3,0.995512495,2,72.30293621,1.835763759,0.084762517,710.7128026,48.13558525,6.634109295,7.138694295,Rural,Medium,0.321702425,10.66369535,24.40782044,0.938387005,49.76012759,231,Complex,2,28.41640436,1887.323945,0.057370703,Plastic,1.184297851,3.532765997,Medium,19.16429674,72,66.19524455,0.684524416,5.688835175,554.03022,352.3556489,No,4.237733685,0.436838753,2.656171222,High,Chassis,154.0468841,Moderate,1.178053351,3.433184337,541.9098726,High,1056.97048
Composite,0.787613472,7.248986717,102.4488453,33.86993158,46.61743347,Lathe_B,Setting_1,0.047633378,None,Major,0.531077764,0.922310132,0.265265616,11.5290482,0.715495549,0.036734511,9.883615499,None,0.146731126,2.847320767,0.044615265,0.157362702,10.14178721,7.317904427,167.8682057,0.517806649,9.716279727,Intermediate,23.78805701,0.860576311,0.512670115,23.14829785,10.64123565,27192.11183,0.39505902,8.402599821,0.031794805,Hydro,Day,0.050131426,48,0.226859619,0.728934797,4.741157328,0.939564395,90.16645349,1,1.17187204,2,36.9078243,1.326490573,0.073651338,542.6391158,117.1964756,2.377345177,9.304725379,Suburban,Low,0.152739932,3.004808462,37.06603722,0.726133081,9.773234103,466,Simple,14,17.0981043,4937.240626,0.048160429,Plastic,3.837013312,4.437218538,Medium,22.40185101,21,4.738982028,0.040633395,3.435575095,716.897578,397.2611096,Yes,7.356035129,0.094559124,18.27713037,Low,Electrical,55.04808459,Advanced,3.425930227,3.147936224,655.0999589,None,863.6145556
Steel,0.70888275,7.135336781,69.71766511,33.40908811,41.9221576,Lathe_A,Setting_1,0.017324397,ISO_14001,None,0.799188312,0.987579955,1.688017312,2.038667335,0.835099612,0.058850156,1.692652067,Basic,0.546559305,3.090819964,0.006838247,0.454942426,34.532547,5.16977656,160.7439932,0.676369598,5.861651704,Expert,60.43074889,0.915676504,0.57482695,11.80025451,39.72021909,40939.43261,0.958305968,4.237403585,0.094900969,Wind,Day,0.022350691,32,0.235971166,0.927769877,23.56197768,0.915422583,69.78038215,2,1.339293387,3,37.30484438,0.395605186,0.03863506,960.0062731,133.2114246,1.67101421,7.732663807,Suburban,High,0.757808617,2.146749968,2.568403294,0.456186736,11.84292942,30,Moderate,4,23.08954467,2069.859293,0.03249198,Plastic,1.853376119,4.706091308,High,24.59269511,5,36.54457565,0.087956278,3.910974435,213.5137628,146.8940826,No,4.319573157,0.28129733,13.36701878,Moderate,Suspension,156.7389007,Advanced,1.952822875,0.572362308,756.0189816,Moderate,687.8057221
Plastic,0.899485515,8.843820406,71.92698923,27.95085121,60.77424133,Lathe_A,Setting_1,0.025293018,ISO_14001,Major,0.269098641,0.98544414,1.248923435,3.12270871,0.945010792,0.038327788,9.261676968,None,0.462686312,4.242847479,0.02768775,0.668406893,21.16225168,9.454030179,89.98148501,0.983977842,4.014958359,Intermediate,89.44750003,0.844848713,0.729597369,14.64054992,21.82958666,2968.357442,0.062915024,0.937704477,0.125848551,Hydro,Day,0.02396936,10,0.026661715,0.863416023,6.364134789,0.962028825,56.44043384,3,0.01892264,2,70.46745369,0.407557491,0.099523471,468.9165925,66.00329714,4.778377732,7.50592602,Rural,High,0.967868471,17.76086165,6.589524873,0.790125584,23.05439592,474,Simple,8,15.63199924,2600.108592,0.026950869,None,1.747400498,2.737092436,Medium,28.60320858,74,53.66845856,0.910956919,2.056900392,820.1607017,316.7219386,Partial,8.788288241,0.374292049,15.14363233,Moderate,Brake Systems,120.4438334,Moderate,2.730437819,2.678879193,415.5782917,Low,705.3857921
Steel,0.862529489,10.16494076,85.07142665,22.77116804,64.86391368,Lathe_B,Setting_3,0.133752161,ISO_14001,None,0.361697665,0.88535107,1.118438753,10.99245762,0.792393322,0.076387186,4.566915928,Advanced,0.217266548,4.052056847,0.041564073,0.466798529,44.45880752,17.92079411,180.9097311,0.351816587,4.767233538,Beginner,10.57333906,0.937090946,0.537676111,49.18172295,6.384932665,37945.90712,0.436217652,1.189630288,0.043952791,Hydro,Day,0.061569512,48,0.169753244,0.801160601,11.85121611,0.945488245,98.23563801,2,0.77864543,1,79.71644337,0.883489065,0.00494489,183.674658,159.3910076,2.998229928,0.720987698,Urban,Low,0.10777797,12.24078186,32.31242051,0.643158711,5.352615801,74,Simple,18,13.66174909,1972.011413,0.031574587,None,1.722700837,0.790844255,High,20.46106762,10,95.41328596,0.265874602,4.721930798,709.0100596,395.4422492,No,3.723767698,0.468145526,4.468840025,High,Chassis,72.56629105,None,2.103486981,4.453049035,312.0121584,None,819.6060893
Steel,0.802495766,14.75399662,102.8386402,31.85104534,67.26850426,Lathe_A,Setting_3,0.038903184,ISO_9001,None,0.973659072,0.89388224,1.359277147,4.174831338,0.939438443,0.093144802,2.063246107,Basic,0.533431761,2.057968126,0.002795669,0.250422222,41.03280445,4.884717174,378.8005732,0.207589667,5.600810975,Expert,61.24893477,0.921835444,0.659057903,26.99722248,35.54036847,3412.87512,0.107416741,3.663865516,0.188144535,Grid Electricity,Night,0.031440771,6,0.025561338,0.936137437,11.23483641,0.932186524,85.25613999,2,0.860414861,1,60.93099579,1.539680843,0.087615002,374.5644356,137.4196936,4.115660518,6.57824142,Rural,Low,0.059792169,16.33715876,29.57931197,0.662387667,21.37914496,369,Moderate,8,22.81762702,4820.934086,0.037223435,Cardboard,1.240836967,3.016918415,High,28.38605755,68,17.84333627,0.550381852,9.150311426,276.8516501,135.3079691,Yes,8.888953757,0.493310721,1.205815627,Low,Chassis,70.63589184,None,2.851982008,4.158514537,585.1793429,Moderate,979.0029411
Aluminum,0.71141393,9.240731773,103.9190869,21.58475478,68.1705184,Lathe_A,Setting_1,0.002296132,ISO_14001,Minor,0.390843825,0.994219068,1.588014231,7.336340999,0.638664185,0.033532226,8.942188355,None,0.78228341,1.44400421,0.036611441,1.854692224,10.87036347,5.044967875,466.4208772,0.791623872,0.162224988,Expert,53.20624027,0.85073988,0.978414987,23.26472586,36.50355464,29380.79764,0.980389425,2.788445437,0.03331331,Grid Electricity,Evening,0.055429528,21,0.274950078,0.722634671,15.94142633,0.952392075,64.54048853,3,1.511065413,0,54.19631033,1.199675353,0.043353647,929.2404881,27.77321467,8.882980461,7.135496806,Rural,High,0.348095482,14.13571756,21.10631271,0.933065921,21.46751631,433,Simple,10,21.47645129,4608.051023,0.024862484,Metal,0.95095355,3.529967653,High,15.02034026,42,48.79876044,0.66792581,9.006074903,649.6752119,22.4876185,Partial,4.641388518,0.493373529,16.38246885,High,Chassis,194.0374376,Advanced,3.688430689,3.74143667,640.0730193,Low,967.9240328
Aluminum,0.869886319,7.431243075,100.8296452,25.01252036,59.56496468,Lathe_B,Setting_2,0.001992017,ISO_9001,None,0.31689653,0.938565773,0.146639825,2.401563725,0.601466761,0.033237814,7.665105676,Basic,0.51442068,2.73641365,0.038425614,1.784296456,38.06236709,8.080262309,390.052601,0.111946749,3.026131018,Beginner,52.2394334,0.811282073,0.904887333,49.00943617,38.01488927,4136.987026,0.684093815,4.304703025,0.083939148,Grid Electricity,Day,0.040561394,7,0.083452908,0.678336476,19.46525963,0.94955443,62.30166472,1,0.131128762,0,65.72992016,0.168061303,0.029572196,476.0827845,28.48738622,4.457038805,0.745501767,Rural,High,0.407252542,15.00076014,34.83591264,0.387834458,47.0342636,350,Moderate,9,25.45697828,3237.004126,0.036955466,None,4.218617617,4.225333562,Low,26.25473584,55,23.55781538,0.834873939,0.567962224,733.3229793,118.3022793,Yes,10.96945681,0.175637537,17.65700052,High,Electrical,89.78341741,None,3.46849094,3.741673318,369.3490928,Moderate,949.39158
Steel,0.796503595,14.83778647,126.4207774,26.37905782,57.15022718,Milling_A,Setting_3,0.064135537,ISO_9001,Minor,0.483507946,0.918299619,0.874186633,1.505628301,0.569300936,0.032591508,7.532290059,Basic,0.729105427,4.250916811,0.044151657,0.175512055,38.54009874,4.273958254,499.1111708,0.483633165,1.017449975,Beginner,79.45476211,0.96694304,0.872997111,19.49672307,6.040560099,37241.31767,0.368641816,6.610969057,0.083667187,Grid Electricity,Evening,0.061818935,3,0.052767974,0.92246751,13.81295213,0.959743142,53.68575606,3,1.823620111,1,88.98308359,1.911120044,0.041437471,666.4264114,56.88445159,9.944553788,1.951357494,Urban,High,0.53012402,3.688470475,42.4228131,0.601863378,26.62562517,395,Moderate,19,7.156723335,132.4901332,0.018186302,None,2.027940972,0.836749792,Medium,24.12097818,27,14.41149272,0.332931453,2.18799992,923.8329337,262.8724606,No,3.565875572,0.345999732,17.62472416,Moderate,Suspension,115.0779463,Moderate,2.382218395,3.192127419,445.2805813,Low,1157.3457
